crn,report_month,reference_date,loan_type_new,loan_status,loan_classification,ownership_type,sector,sanction_amount,high_credit_amount,creditlimit,out_standing_balance,over_due_amount,emi,tu_score,date_opened,date_closed,datereported_trades,last_payment_date,pay_hist_start_date,pay_hist_end_date,dpd_string,base,CV_RN
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,10850000,10850000,,0,,281588,764,2019-10-03,2023-11-30,2023-11-30,2023-11-10,2023-11-01,2020-12-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022000,,69
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,1121000,1121000,,0,,,764,2019-03-31,2021-06-25,2021-06-30,2021-06-25,2021-06-01,2019-03-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,46
10472013941,202602,2026-01-30,Auto Loan (Personal),Closed,,Guarantor,KOTAK PRIME,398017,398017,,0,,,764,2019-03-30,2022-04-16,2022-04-30,2022-04-01,2022-04-01,2019-05-01,000000000000000000000000000000000000000000028000XXX000000000000000000000000000000000000000000000000000000000,,11
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,1893000,1893000,,0,,,764,2019-01-03,2022-01-30,2022-01-31,2022-01-26,2022-01-01,2019-02-01,000000011012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,52
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,978000,978000,,0,,,764,2019-01-03,2022-01-30,2022-01-31,2022-01-26,2022-01-01,2019-02-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,40
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Joint,NOT DISCLOSED,8500000,8500000,,0,,,764,2018-09-18,2023-04-06,2023-04-30,2023-03-18,2023-04-01,2020-05-01,000000000014000000000000014000000032012041041074074074074043074043000000000000000074043000000000000000012000,,68
10472013941,202602,2026-01-30,Auto Loan (Personal),Closed,,Individual,KOTAK PRIME,953000,953000,,0,,,764,2018-08-17,2022-08-10,2022-08-31,2022-07-21,2022-08-01,2019-09-01,000000000000000000000000000000000000000000000000000000000000XXX026000000000000000000000000000000000000000000,,37
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Joint,NOT DISCLOSED,1800000,1800000,,0,,14416,764,2018-05-31,2021-08-04,2021-10-20,,2021-10-01,2018-11-01,000000000000000000000000000000000000000000000XXXXXXXXX000XXXXXX000000000000000000000000000000000000000000000,,51
10472013941,202602,2026-01-30,Credit Card,Closed,,Individual,NOT DISCLOSED,,,50000,0,,,764,2018-05-24,2020-01-21,2020-02-01,2019-05-01,2020-02-01,2018-05-01,000000000000000000000000000000000000000000000000000000000000000000,,1
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,NOT DISCLOSED,700000,700000,,0,,19250,764,2018-04-30,2022-04-28,2022-04-30,2022-04-22,2022-04-01,2019-05-01,000022000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,27
